process,Start,Finish,Priority,wait time,turnaround time
18,0,3,48,566,576
28,3,5,44,98,104
66,5,15,10,170,180
77,15,23,16,576,582
98,23,28,20,113,118
48,28,34,15,597,601
79,34,43,12,352,364
94,43,45,39,208,216
31,45,53,13,118,122
69,53,62,6,322,328
72,62,72,43,413,421
84,72,81,30,264,274
29,81,88,7,104,107
20,88,97,12,110,112
93,97,103,41,216,227
1,103,109,31,601,609
12,109,112,20,609,612
49,112,113,30,145,153
63,113,114,19,0,3
98,114,116,5,364,370
13,116,118,26,84,93
44,118,119,24,231,236
45,119,120,17,327,332
4,120,125,40,236,237
8,125,129,47,421,425
37,129,137,48,152,164
76,137,141,45,274,275
91,141,153,3,544,555
17,153,161,18,3,5
25,161,173,48,78,85
39,173,177,32,434,441
51,177,180,7,43,51
2,180,190,20,582,583
38,190,195,38,516,518
50,195,201,11,441,443
59,201,210,9,518,528
71,210,220,43,332,337
7,220,228,13,122,130
14,228,239,4,179,184
96,239,244,19,164,168
21,244,249,21,275,282
23,249,250,1,256,261
43,250,258,4,287,298
56,258,267,48,237,245
85,267,270,21,112,113
41,270,275,45,113,114
87,275,279,20,443,455
11,279,289,23,583,587
26,289,290,11,27,33
40,290,297,33,107,108
83,297,303,16,184,190
42,303,314,31,168,171
52,314,321,1,298,305
53,321,332,35,305,316
70,332,339,24,528,529
9,339,345,29,337,348
22,345,350,17,245,254
36,350,355,33,455,462
55,355,366,45,555,557
97,366,371,47,190,199
6,371,383,27,611,623
19,383,389,13,491,495
64,389,401,34,623,629
68,401,412,41,108,109
81,412,423,21,370,382
74,423,434,32,638,650
10,434,442,2,5,15
24,442,446,21,462,471
95,446,456,23,382,393
30,456,463,38,51,60
34,463,465,39,316,323
46,465,477,43,199,209
57,477,484,10,60,70
67,484,493,3,471,482
73,493,504,39,403,414
82,504,514,36,529,539
61,514,518,34,130,134
78,518,530,49,15,23
88,530,531,14,495,507
89,531,540,14,33,42
33,540,542,4,587,598
35,542,552,34,393,404
54,552,553,28,482,492
75,553,563,39,282,288
90,563,569,8,70,79
27,569,580,42,254,257
58,580,582,24,557,567
86,582,592,8,261,265
0,592,602,19,507,508
3,602,608,14,508,517
32,608,609,1,539,545
47,609,613,10,134,146
80,613,624,34,629,640
5,624,628,49,93,99
15,628,636,6,42,44
16,636,639,6,425,435
60,639,651,47,227,232
62,651,657,17,348,353
92,657,668,30,109,111
65,668,680,7,23,28
